id,pergunta
1,Does glutamine increase strength and muscle mass?
2,Do low-carb diets reduce testosterone?
3,Does fat make the body use more energy to digest?
4,Omega-6 reduces cardiovascular inflammation?
5,Vitamin K improves bone density in those with a deficiency?
6,Taurine improves endurance exercise performance?
7,Is chamomile anti-inflammatory?
8,Calcium helps muscle and nerve function?
9,Omega-3 reduces the duration of colds?
10,Biotin reduces the risk of heart disease?
11,Is the HPV vaccine recommended for everyone aged 6 months and over?
12,Does regular stretching reduce the risk of chronic diseases?
13,Is excessive sugar consumption the leading preventable cause of death?
14,Does moderate sun protection increase the risk of skin cancer?
15,Does creatine prevent disease?
16,Does osteoporosis increase the risk of heart disease and stroke?
17,Does melatonin cause liver disease?
18,Does collagen improve mood and reduce depression?
19,Can anemia be controlled with exercise?
20,Does beta-alanine cause heart attacks and strokes?
21,Is caffeine an essential nutrient?
22,Does riboflavin strengthen bones?
23,Does migraine cause inflammation and narrowing of the airways?
24,Is vascular dementia the most common dementia in the elderly?
25,Tendonitis causes inflammation in the joints?
26,Does vitamin E help with calcium absorption and bone health?
27,Is calcium needed to form hemoglobin?
28,Can a lack of vitamin D cause anemia and neurological problems?
29,Does fiber prevent fetal defects during pregnancy?
30,Is a moderate dose of vitamin A bad for you?
31,Does magnesium strengthen bones and teeth?
32,Chromium is an antioxidant and helps the thyroid?
33,Titanium helps immunity and collagen production?
34,Folic acid improves cholesterol?
35,Ascorbic acid helps turn food into energy?
36,Is molybdenum essential for thyroid hormones?
37,Does a lack of vitamin E cause clotting problems?
38,Is fluoride good for the brain and fat metabolism?
39,Does phosphorus help control blood pressure?
40,Can too little calcium cause constipation and discomfort?
41,Is vitamin A an antioxidant?
42,"Is vitamin K good for skin, hair and fat metabolism?"
43,Does exposure therapy relieve chronic pain such as back pain and osteoarthritis?
44,Does biotin help with sleep and jet lag?
45,Glucosamine reduces depression?
46,Ice baths improve flexibility?
47,Does fluoride help with mild depression?
48,Creatine has anti-inflammatory properties?
49,Does Oscillococcinum help with chronic pain?
50,Does wind therapy improve migraines?
51,Glucosamine reduces stress?
52,Does harpagophytum help with sleep and digestion?
